,artist,title,negative,neutral,positive,compound,sentiment_type,joy,anger,sadness,emotion
140,Taylor Swift,Christmas Tree Farm,0.053,0.606,0.342,0.9992,POSITIVE,47,4,3,joy
141,Taylor Swift,Forever & Always,0.086,0.887,0.027,-0.9778,NEGATIVE,7,1,1,joy
142,Taylor Swift,Stay Stay Stay,0.167,0.597,0.236,0.9893,POSITIVE,11,17,19,sadness
143,Taylor Swift,Breathe,0.159,0.653,0.188,0.9458,POSITIVE,15,4,11,joy
144,Taylor Swift,Tim McGraw,0.029,0.783,0.187,0.9974,POSITIVE,17,2,12,joy
145,Taylor Swift,Red (Original Demo Recording),0.132,0.625,0.243,0.9884,POSITIVE,11,7,16,sadness
146,Taylor Swift,The Very First Night (Taylor’s Version) [From the Vault],0.062,0.814,0.124,0.9838,POSITIVE,2,2,7,sadness
147,Taylor Swift,Babe (Taylor’s Version) [From the Vault],0.081,0.795,0.124,0.9331,POSITIVE,2,3,8,sadness
148,Taylor Swift,Speak Now,0.093,0.805,0.102,0.7716,POSITIVE,22,3,4,joy
149,Taylor Swift,Ours,0.064,0.668,0.268,0.9983,POSITIVE,15,1,6,joy
